"","date","Team","Opponent","Player","#","Pos","Age","Club","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"44","November-25-2022","England","United States","Kieran Trippier","12","RB","32-067","1.eng Newcastle Utd","90","0","0","0","0","0","0","0","0","75","0","0","0","0.0","0.0","0.1","3","0","63","74","85.1","9","46","1","1","1"
"45","November-25-2022","England","United States","Jordan Pickford","1","GK","28-263","1.eng Everton","90","0","0","0","0","0","0","0","0","29","0","0","0","0.0","0.0","0.0","0","0","22","27","81.5","0","21","0","0","0"
"46","November-25-2022","United States","England","Haji Wright","19","FW","24-243","1.tr Antalyaspor","82","0","0","0","0","2","0","0","0","17","1","0","0","0.1","0.1","0.0","2","0","6","10","60.0","0","6","2","1","0"
"47","November-25-2022","United States","England","Josh Sargent","24","FW","22-278","2.eng Norwich City","8","0","0","0","0","0","0","0","0","2","0","0","0","0.0","0.0","0.0","0","0","1","1","100.0","0","2","0","0","0"
"48","November-25-2022","United States","England","Timothy Weah","21","FW","22-276","1.fr Lille","82","0","0","0","0","0","0","0","0","34","0","0","2","0.0","0.0","0.3","2","0","19","26","73.1","2","16","0","1","1"
"49","November-25-2022","United States","England","Gio Reyna","7","FW","20-012","1.de Dortmund","8","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.0","0","0","2","4","50.0","0","4","0","0","0"
"50","November-25-2022","United States","England","Christian Pulisic","10","LM","24-068","1.eng Chelsea","90","0","0","0","0","4","0","0","0","50","1","0","0","0.1","0.1","0.1","3","0","23","36","63.9","4","32","5","3","2"
"51","November-25-2022","United States","England","Yunus Musah","6","CM","19-361","1.es Valencia","90","0","0","0","0","1","1","0","0","44","2","0","2","0.0","0.0","0.0","1","0","30","36","83.3","6","28","2","1","0"
"52","November-25-2022","United States","England","Tyler Adams","4","CM","23-284","1.eng Leeds United","90","0","0","0","0","0","0","0","0","55","1","1","2","0.0","0.0","0.0","0","0","41","47","87.2","1","28","0","0","0"
"53","November-25-2022","United States","England","Weston McKennie","8","RM","24-089","1.it Juventus","76","0","0","0","0","2","0","0","0","44","2","0","2","0.3","0.3","0.0","4","0","30","35","85.7","4","22","3","1","1"
"54","November-25-2022","United States","England","Brenden Aaronson","11","RM","22-034","1.eng Leeds United","14","0","0","0","0","0","0","0","0","11","1","0","1","0.0","0.0","0.0","0","0","9","9","100.0","1","7","0","0","0"
"55","November-25-2022","United States","England","Antonee Robinson","5","LB","25-109","1.eng Fulham","90","0","0","0","0","0","0","0","0","54","2","2","1","0.0","0.0","0.0","3","0","31","41","75.6","3","28","2","0","0"
"56","November-25-2022","United States","England","Tim Ream","13","CB","35-051","1.eng Fulham","90","0","0","0","0","0","0","0","0","62","0","0","1","0.0","0.0","0.0","0","0","47","55","85.5","3","34","1","1","1"
"57","November-25-2022","United States","England","Walker Zimmerman","3","CB","29-190","1.us Nashville","90","0","0","0","0","0","0","0","0","78","1","0","1","0.0","0.0","0.0","1","0","63","72","87.5","1","52","0","0","0"
